STATE FIPS,COUNTY FIPS,STATE/TERRITORY NAME,COUNTY NAME, 2010 POPULATION , 2015 POPULATION , LAND AREA (Sqare Miles) 
01,133,Alabama,Winston County," 24,484 "," 23,877 ", 612.979 
02,013,Alaska,Aleutians East Borough," 3,141 "," 3,341 "," 6,981.943 "
02,016,Alaska,Aleutians West Census Area," 5,561 "," 5,702 "," 4,390.276 "
02,020,Alaska,Anchorage Municipality," 291,826 "," 298,695 "," 1,704.683 "
02,050,Alaska,Bethel Census Area," 17,013 "," 17,946 "," 40,570.004 "
02,060,Alaska,Bristol Bay Borough, 997 , 892 , 503.843 
02,068,Alaska,Denali Borough," 1,826 "," 1,919 "," 12,751.411 "
02,070,Alaska,Dillingham Census Area," 4,847 "," 4,997 "," 18,568.778 "
02,090,Alaska,Fairbanks North Star Borough," 97,581 "," 99,631 "," 7,338.209 "
02,100,Alaska,Haines Borough," 2,508 "," 2,534 "," 2,318.600 "
02,105,Alaska,Hoonah-Angoon Census Area," 2,150 "," 2,133 "," 7,524.915 "
02,110,Alaska,Juneau City and Borough," 31,275 "," 32,756 "," 2,701.931 "
02,122,Alaska,Kenai Peninsula Borough," 55,400 "," 58,059 "," 16,075.331 "
02,130,Alaska,Ketchikan Gateway Borough," 13,477 "," 13,709 "," 4,858.414 "
02,150,Alaska,Kodiak Island Borough," 13,592 "," 13,889 "," 6,549.579 "
02,164,Alaska,Lake and Peninsula Borough," 1,631 "," 1,563 "," 23,652.009 "
02,170,Alaska,Matanuska-Susitna Borough," 88,995 "," 101,095 "," 24,607.898 "
02,180,Alaska,Nome Census Area," 9,492 "," 9,846 "," 22,961.761 "
02,185,Alaska,North Slope Borough," 9,430 "," 9,687 "," 88,695.413 "
02,188,Alaska,Northwest Arctic Borough," 7,523 "," 7,752 "," 35,572.584 "
02,195,Alaska,Petersburg Census Area," 3,815 "," 3,177 "," 3,281.982 "
02,198,Alaska,Prince of Wales-Hyder Census Area," 5,559 "," 6,341 "," 3,922.873 "
02,220,Alaska,Sitka City and Borough," 8,881 "," 8,863 "," 2,870.339 "
02,230,Alaska,Skagway Municipality, 968 ," 1,057 ", 452.325 
02,240,Alaska,Southeast Fairbanks Census Area," 7,029 "," 6,839 "," 24,768.808 "
02,261,Alaska,Valdez-Cordova Census Area," 9,636 "," 9,362 "," 34,239.880 "
02,270,Alaska,Wade Hampton Census Area," 7,459 ",," 17,081.433 "
02,275,Alaska,Wrangell City and Borough," 2,369 "," 2,382 "," 2,541.483 "
02,282,Alaska,Yakutat City and Borough, 662 , 613 ," 7,649.457 "
02,290,Alaska,Yukon-Koyukuk Census Area," 5,588 "," 5,533 "," 145,504.789 "
04,001,Arizona,Apache County," 71,518 "," 71,474 "," 11,197.521 "
04,003,Arizona,Cochise County," 131,346 "," 126,427 "," 6,165.690 "
04,005,Arizona,Coconino County," 134,421 "," 139,097 "," 18,618.885 "
04,007,Arizona,Gila County," 53,597 "," 53,159 "," 4,757.933 "
04,009,Arizona,Graham County," 37,220 "," 37,666 "," 4,622.597 "
04,011,Arizona,Greenlee County," 8,437 "," 9,529 "," 1,843.126 "
04,012,Arizona,La Paz County," 20,489 "," 20,152 "," 4,499.629 "
04,013,Arizona,Maricopa County," 3,817,117 "," 4,167,947 "," 9,200.143 "
04,015,Arizona,Mohave County," 200,186 "," 204,737 "," 13,311.084 "
04,017,Arizona,Navajo County," 107,449 "," 108,277 "," 9,950.422 "
04,019,Arizona,Pima County," 980,263 "," 1,010,025 "," 9,187.036 "
04,021,Arizona,Pinal County," 375,770 "," 406,584 "," 5,365.612 "
04,023,Arizona,Santa Cruz County," 47,420 "," 46,461 "," 1,236.916 "
04,025,Arizona,Yavapai County," 211,033 "," 222,255 "," 8,123.499 "
04,027,Arizona,Yuma County," 195,751 "," 204,275 "," 5,513.992 "
05,001,Arkansas,Arkansas County," 19,019 "," 18,433 ", 988.770 
05,003,Arkansas,Ashley County," 21,853 "," 20,838 ", 925.349 
05,005,Arkansas,Baxter County," 41,513 "," 41,053 ", 554.283 
05,007,Arkansas,Benton County," 221,339 "," 249,672 ", 847.357 
05,009,Arkansas,Boone County," 36,903 "," 37,222 ", 590.231 
05,011,Arkansas,Bradley County," 11,508 "," 11,094 ", 649.231 
05,013,Arkansas,Calhoun County," 5,368 "," 5,229 ", 628.581 
05,015,Arkansas,Carroll County," 27,446 "," 27,704 ", 630.087 
05,017,Arkansas,Chicot County," 11,800 "," 11,027 ", 644.304 
05,019,Arkansas,Clark County," 22,995 "," 22,633 ", 866.074 
05,021,Arkansas,Clay County," 16,083 "," 15,109 ", 639.465 
05,023,Arkansas,Cleburne County," 25,970 "," 25,467 ", 553.692 
05,025,Arkansas,Cleveland County," 8,689 "," 8,311 ", 597.783 
05,027,Arkansas,Columbia County," 24,552 "," 24,114 ", 766.053 
05,029,Arkansas,Conway County," 21,273 "," 21,019 ", 552.250 
05,031,Arkansas,Craighead County," 96,443 "," 104,354 ", 707.206 
05,033,Arkansas,Crawford County," 61,948 "," 61,703 ", 593.094 
05,035,Arkansas,Crittenden County," 50,902 "," 48,963 ", 609.760 
05,037,Arkansas,Cross County," 17,870 "," 17,284 ", 616.381 
05,039,Arkansas,Dallas County," 8,116 "," 7,604 ", 667.386 
05,041,Arkansas,Desha County," 13,008 "," 11,965 ", 768.152 
05,043,Arkansas,Drew County," 18,509 "," 18,778 ", 828.356 
05,045,Arkansas,Faulkner County," 113,237 "," 121,552 ", 647.884 
05,047,Arkansas,Franklin County," 18,125 "," 17,702 ", 608.857 
05,049,Arkansas,Fulton County," 12,245 "," 12,204 ", 618.194 
05,051,Arkansas,Garland County," 96,024 "," 97,177 ", 677.781 
05,053,Arkansas,Grant County," 17,853 "," 18,102 ", 631.809 
05,055,Arkansas,Greene County," 42,090 "," 44,196 ", 577.699 
05,057,Arkansas,Hempstead County," 22,609 "," 22,084 ", 727.520 
05,059,Arkansas,Hot Spring County," 32,923 "," 33,426 ", 615.202 
05,061,Arkansas,Howard County," 13,789 "," 13,300 ", 588.554 
05,063,Arkansas,Independence County," 36,647 "," 37,052 ", 763.953 
05,065,Arkansas,Izard County," 13,696 "," 13,445 ", 580.577 
05,067,Arkansas,Jackson County," 17,997 "," 17,338 ", 633.938 
05,069,Arkansas,Jefferson County," 77,435 "," 71,565 ", 870.746 
05,071,Arkansas,Johnson County," 25,540 "," 26,141 ", 659.804 
05,073,Arkansas,Lafayette County," 7,645 "," 6,996 ", 528.268 
05,075,Arkansas,Lawrence County," 17,415 "," 16,779 ", 587.614 
05,077,Arkansas,Lee County," 10,424 "," 9,650 ", 602.621 
05,079,Arkansas,Lincoln County," 14,134 "," 13,820 ", 561.517 
05,081,Arkansas,Little River County," 13,171 "," 12,472 ", 532.253 
05,083,Arkansas,Logan County," 22,353 "," 21,714 ", 708.125 
05,085,Arkansas,Lonoke County," 68,356 "," 71,645 ", 770.728 
05,087,Arkansas,Madison County," 15,717 "," 15,767 ", 834.255 
05,089,Arkansas,Marion County," 16,653 "," 16,185 ", 597.009 
05,091,Arkansas,Miller County," 43,462 "," 43,908 ", 625.578 
05,093,Arkansas,Mississippi County," 46,480 "," 43,738 ", 900.574 
05,095,Arkansas,Monroe County," 8,149 "," 7,399 ", 607.122 
05,097,Arkansas,Montgomery County," 9,487 "," 8,970 ", 779.880 
05,099,Arkansas,Nevada County," 8,997 "," 8,558 ", 617.837 
05,101,Arkansas,Newton County," 8,330 "," 7,913 ", 820.896 
05,103,Arkansas,Ouachita County," 26,120 "," 24,358 ", 732.783 
05,105,Arkansas,Perry County," 10,445 "," 10,189 ", 551.402 
05,107,Arkansas,Phillips County," 21,757 "," 19,513 ", 695.663 
05,109,Arkansas,Pike County," 11,291 "," 10,824 ", 600.618 
05,111,Arkansas,Poinsett County," 24,583 "," 24,040 ", 758.389 
05,113,Arkansas,Polk County," 20,662 "," 20,216 ", 857.679 
05,115,Arkansas,Pope County," 61,754 "," 63,390 ", 812.548 
05,117,Arkansas,Prairie County," 8,715 "," 8,291 ", 647.958 
05,119,Arkansas,Pulaski County," 382,748 "," 392,664 ", 759.763 
05,121,Arkansas,Randolph County," 17,969 "," 17,469 ", 652.191 
05,123,Arkansas,St. Francis County," 28,258 "," 26,589 ", 634.771 
05,125,Arkansas,Saline County," 107,118 "," 117,460 ", 723.604 
05,127,Arkansas,Scott County," 11,233 "," 10,513 ", 892.320 
05,129,Arkansas,Searcy County," 8,195 "," 7,869 ", 666.095 
05,131,Arkansas,Sebastian County," 125,744 "," 127,780 ", 531.911 
05,133,Arkansas,Sevier County," 17,058 "," 17,290 ", 565.126 
05,135,Arkansas,Sharp County," 17,264 "," 16,912 ", 604.439 
05,137,Arkansas,Stone County," 12,394 "," 12,456 ", 606.405 
05,139,Arkansas,Union County," 41,639 "," 40,144 "," 1,039.214 "
05,141,Arkansas,Van Buren County," 17,295 "," 16,771 ", 708.143 
05,143,Arkansas,Washington County," 203,065 "," 225,477 ", 941.966 
05,145,Arkansas,White County," 77,076 "," 79,161 "," 1,035.075 "
05,147,Arkansas,Woodruff County," 7,260 "," 6,741 ", 586.791 
05,149,Arkansas,Yell County," 22,185 "," 21,713 ", 929.984 
06,001,California,Alameda County," 1,510,271 "," 1,638,215 ", 739.017 
06,003,California,Alpine County," 1,175 "," 1,110 ", 738.332 
06,005,California,Amador County," 38,091 "," 37,001 ", 594.583 
06,007,California,Butte County," 220,000 "," 225,411 "," 1,636.464 "
06,009,California,Calaveras County," 45,578 "," 44,828 "," 1,020.012 "
06,011,California,Colusa County," 21,419 "," 21,482 "," 1,150.731 "
06,013,California,Contra Costa County," 1,049,025 "," 1,126,745 ", 715.937 
06,015,California,Del Norte County," 28,610 "," 27,254 "," 1,006.373 "
06,017,California,El Dorado County," 181,058 "," 184,452 "," 1,707.883 "
06,019,California,Fresno County," 930,450 "," 974,861 "," 5,957.991 "
06,021,California,Glenn County," 28,122 "," 28,017 "," 1,313.947 "
06,023,California,Humboldt County," 134,623 "," 135,727 "," 3,567.987 "
06,025,California,Imperial County," 174,528 "," 180,191 "," 4,176.603 "
06,027,California,Inyo County," 18,546 "," 18,260 "," 10,180.879 "
06,029,California,Kern County," 839,631 "," 882,176 "," 8,131.916 "
06,031,California,Kings County," 152,982 "," 150,965 "," 1,389.420 "
06,033,California,Lake County," 64,665 "," 64,591 "," 1,256.464 "
06,035,California,Lassen County," 34,895 "," 31,345 "," 4,541.184 "
06,037,California,Los Angeles County," 9,818,605 "," 10,170,292 "," 4,057.884 "
06,039,California,Madera County," 150,865 "," 154,998 "," 2,137.069 "
06,041,California,Marin County," 252,409 "," 261,221 ", 520.306 
06,043,California,Mariposa County," 18,251 "," 17,531 "," 1,448.816 "
06,045,California,Mendocino County," 87,841 "," 87,649 "," 3,506.343 "
06,047,California,Merced County," 255,793 "," 268,455 "," 1,934.972 "
06,049,California,Modoc County," 9,686 "," 8,965 "," 3,917.770 "
06,051,California,Mono County," 14,202 "," 13,909 "," 3,048.982 "
06,053,California,Monterey County," 415,057 "," 433,898 "," 3,280.595 "
06,055,California,Napa County," 136,484 "," 142,456 ", 748.362 
06,057,California,Nevada County," 98,764 "," 98,877 ", 957.772 
06,059,California,Orange County," 3,010,232 "," 3,169,776 ", 790.568 
06,061,California,Placer County," 348,432 "," 375,391 "," 1,407.009 "
06,063,California,Plumas County," 20,007 "," 18,409 "," 2,553.043 "
06,065,California,Riverside County," 2,189,641 "," 2,361,026 "," 7,206.480 "
06,067,California,Sacramento County," 1,418,788 "," 1,501,335 ", 964.644 
06,069,California,San Benito County," 55,269 "," 58,792 "," 1,388.710 "
06,071,California,San Bernardino County," 2,035,210 "," 2,128,133 "," 20,056.938 "
06,073,California,San Diego County," 3,095,313 "," 3,299,521 "," 4,206.630 "
06,075,California,San Francisco County," 805,235 "," 864,816 ", 46.873 
06,077,California,San Joaquin County," 685,306 "," 726,106 "," 1,391.322 "
06,079,California,San Luis Obispo County," 269,637 "," 281,401 "," 3,298.567 "
06,081,California,San Mateo County," 718,451 "," 765,135 ", 448.408 
06,083,California,Santa Barbara County," 423,895 "," 444,769 "," 2,735.085 "
06,085,California,Santa Clara County," 1,781,642 "," 1,918,044 "," 1,290.100 "
06,087,California,Santa Cruz County," 262,382 "," 274,146 ", 445.170 
06,089,California,Shasta County," 177,223 "," 179,533 "," 3,775.402 "
06,091,California,Sierra County," 3,240 "," 2,967 ", 953.214 
06,093,California,Siskiyou County," 44,900 "," 43,554 "," 6,277.887 "
06,095,California,Solano County," 413,344 "," 436,092 ", 821.765 
06,097,California,Sonoma County," 483,878 "," 502,146 "," 1,575.849 "
06,099,California,Stanislaus County," 514,453 "," 538,388 "," 1,494.827 "
06,101,California,Sutter County," 94,737 "," 96,463 ", 602.410 
06,103,California,Tehama County," 63,463 "," 63,308 "," 2,949.709 "
06,105,California,Trinity County," 13,786 "," 13,069 "," 3,179.254 "
06,107,California,Tulare County," 442,179 "," 459,863 "," 4,824.215 "
06,109,California,Tuolumne County," 55,365 "," 53,709 "," 2,220.884 "
06,111,California,Ventura County," 823,318 "," 850,536 "," 1,843.133 "
06,113,California,Yolo County," 200,849 "," 213,016 "," 1,014.689 "
06,115,California,Yuba County," 72,155 "," 74,492 ", 631.839 
08,001,Colorado,Adams County," 441,603 "," 491,337 "," 1,167.653 "
08,003,Colorado,Alamosa County," 15,445 "," 16,496 ", 722.643 
08,005,Colorado,Arapahoe County," 572,003 "," 631,096 ", 798.100 
08,007,Colorado,Archuleta County," 12,084 "," 12,352 "," 1,350.175 "
08,009,Colorado,Baca County," 3,788 "," 3,615 "," 2,554.967 "
08,011,Colorado,Bent County," 6,499 "," 5,830 "," 1,512.861 "
08,013,Colorado,Boulder County," 294,567 "," 319,372 ", 726.289 
08,014,Colorado,Broomfield County," 55,889 "," 65,065 ", 33.034 
08,015,Colorado,Chaffee County," 17,809 "," 18,658 "," 1,013.403 "
08,017,Colorado,Cheyenne County," 1,836 "," 1,829 "," 1,778.276 "
08,019,Colorado,Clear Creek County," 9,088 "," 9,303 ", 395.227 
08,021,Colorado,Conejos County," 8,256 "," 8,130 "," 1,287.391 "
08,023,Colorado,Costilla County," 3,524 "," 3,584 "," 1,226.952 "
08,025,Colorado,Crowley County," 5,823 "," 5,562 ", 787.421 
08,027,Colorado,Custer County," 4,255 "," 4,445 ", 738.625 
08,029,Colorado,Delta County," 30,952 "," 29,979 "," 1,142.050 "
08,031,Colorado,Denver County," 600,158 "," 682,545 ", 153.000 
08,033,Colorado,Dolores County," 2,064 "," 1,978 "," 1,067.051 "
08,035,Colorado,Douglas County," 285,465 "," 322,387 ", 840.248 
08,037,Colorado,Eagle County," 52,197 "," 53,605 "," 1,684.530 "
08,039,Colorado,Elbert County," 23,086 "," 24,735 "," 1,850.847 "
08,041,Colorado,El Paso County," 622,263 "," 674,471 "," 2,126.801 "
08,043,Colorado,Fremont County," 46,824 "," 46,692 "," 1,533.068 "
08,045,Colorado,Garfield County," 56,389 "," 58,095 "," 2,947.563 "
08,047,Colorado,Gilpin County," 5,441 "," 5,828 ", 149.896 
08,049,Colorado,Grand County," 14,843 "," 14,615 "," 1,846.330 "
08,051,Colorado,Gunnison County," 15,324 "," 16,067 "," 3,239.100 "
08,053,Colorado,Hinsdale County, 843 , 774 ," 1,117.251 "
08,055,Colorado,Huerfano County," 6,711 "," 6,492 "," 1,591.001 "
08,057,Colorado,Jackson County," 1,394 "," 1,356 "," 1,613.723 "
08,059,Colorado,Jefferson County," 534,543 "," 565,524 ", 764.208 
08,061,Colorado,Kiowa County," 1,398 "," 1,423 "," 1,767.767 "
08,063,Colorado,Kit Carson County," 8,270 "," 7,758 "," 2,160.822 "
08,065,Colorado,Lake County," 7,310 "," 7,485 ", 376.911 
08,067,Colorado,La Plata County," 51,334 "," 54,688 "," 1,692.078 "
08,069,Colorado,Larimer County," 299,630 "," 333,577 "," 2,596.002 "
08,071,Colorado,Las Animas County," 15,507 "," 14,058 "," 4,772.672 "
08,073,Colorado,Lincoln County," 5,467 "," 5,557 "," 2,577.626 "
08,075,Colorado,Logan County," 22,709 "," 22,036 "," 1,838.547 "
08,077,Colorado,Mesa County," 146,723 "," 148,513 "," 3,328.974 "
08,079,Colorado,Mineral County, 712 , 726 , 875.666 
08,081,Colorado,Moffat County," 13,795 "," 12,937 "," 4,743.290 "
08,083,Colorado,Montezuma County," 25,535 "," 26,168 "," 2,029.527 "
08,085,Colorado,Montrose County," 41,276 "," 40,946 "," 2,240.695 "
08,087,Colorado,Morgan County," 28,159 "," 28,360 "," 1,280.433 "
08,089,Colorado,Otero County," 18,831 "," 18,343 "," 1,261.961 "
08,091,Colorado,Ouray County," 4,436 "," 4,691 ", 541.593 
08,093,Colorado,Park County," 16,206 "," 16,510 "," 2,193.846 "
08,095,Colorado,Phillips County," 4,442 "," 4,349 ", 687.928 
08,097,Colorado,Pitkin County," 17,148 "," 17,787 ", 970.697 
08,099,Colorado,Prowers County," 12,551 "," 11,954 "," 1,638.395 "
08,101,Colorado,Pueblo County," 159,063 "," 163,591 "," 2,386.104 "
08,103,Colorado,Rio Blanco County," 6,666 "," 6,571 "," 3,220.934 "
08,105,Colorado,Rio Grande County," 11,982 "," 11,543 ", 911.958 
08,107,Colorado,Routt County," 23,509 "," 24,130 "," 2,362.026 "
08,109,Colorado,Saguache County," 6,108 "," 6,251 "," 3,168.525 "
08,111,Colorado,San Juan County, 699 , 701 , 387.488 
08,113,Colorado,San Miguel County," 7,359 "," 7,879 "," 1,286.611 "
08,115,Colorado,Sedgwick County," 2,379 "," 2,399 ", 548.041 
08,117,Colorado,Summit County," 27,994 "," 30,257 ", 608.358 
08,119,Colorado,Teller County," 23,350 "," 23,385 ", 557.055 
08,121,Colorado,Washington County," 4,814 "," 4,864 "," 2,518.031 "
08,123,Colorado,Weld County," 252,825 "," 285,174 "," 3,987.238 "
08,125,Colorado,Yuma County," 10,043 "," 10,146 "," 2,364.405 "
09,001,Connecticut,Fairfield County," 916,829 "," 948,053 ", 624.890 
09,003,Connecticut,Hartford County," 894,014 "," 895,841 ", 735.097 
09,005,Connecticut,Litchfield County," 189,927 "," 183,603 ", 920.560 
09,007,Connecticut,Middlesex County," 165,676 "," 164,063 ", 369.301 
09,009,Connecticut,New Haven County," 862,477 "," 859,470 ", 604.506 
09,011,Connecticut,New London County," 274,055 "," 271,863 ", 664.878 
09,013,Connecticut,Tolland County," 152,691 "," 151,420 ", 410.214 
09,015,Connecticut,Windham County," 118,428 "," 116,573 ", 512.910 
10,001,Delaware,Kent County," 162,310 "," 173,533 ", 586.179 
10,003,Delaware,New Castle County," 538,479 "," 556,779 ", 426.286 
10,005,Delaware,Sussex County," 197,145 "," 215,622 ", 936.079 
11,001,District of Columbia,District of Columbia," 601,723 "," 672,228 ", 61.048 
12,001,Florida,Alachua County," 247,336 "," 259,964 ", 875.020 
12,003,Florida,Baker County," 27,115 "," 27,420 ", 585.231 
12,005,Florida,Bay County," 168,852 "," 181,635 ", 758.459 
12,007,Florida,Bradford County," 28,520 "," 26,928 ", 293.962 
12,009,Florida,Brevard County," 543,376 "," 568,088 "," 1,015.664 "
12,011,Florida,Broward County," 1,748,066 "," 1,896,425 "," 1,209.785 "
12,013,Florida,Calhoun County," 14,625 "," 14,462 ", 567.334 
12,015,Florida,Charlotte County," 159,978 "," 173,115 ", 680.279 
12,017,Florida,Citrus County," 141,236 "," 141,058 ", 581.696 
12,019,Florida,Clay County," 190,865 "," 203,967 ", 604.360 
12,021,Florida,Collier County," 321,520 "," 357,305 "," 1,998.324 "
12,023,Florida,Columbia County," 67,531 "," 68,348 ", 797.574 
12,027,Florida,DeSoto County," 34,862 "," 35,458 ", 637.059 
12,029,Florida,Dixie County," 16,422 "," 16,203 ", 705.053 
12,031,Florida,Duval County," 864,263 "," 913,010 ", 762.192 
12,033,Florida,Escambia County," 297,619 "," 311,003 ", 656.461 
12,035,Florida,Flagler County," 95,696 "," 105,392 ", 485.461 
12,037,Florida,Franklin County," 11,549 "," 11,761 ", 534.725 
12,039,Florida,Gadsden County," 46,389 "," 46,036 ", 516.332 
12,041,Florida,Gilchrist County," 16,939 "," 17,199 ", 349.677 
12,043,Florida,Glades County," 12,884 "," 13,670 ", 806.009 
12,045,Florida,Gulf County," 15,863 "," 15,871 ", 564.012 
12,047,Florida,Hamilton County," 14,799 "," 14,295 ", 513.790 
12,049,Florida,Hardee County," 27,731 "," 27,502 ", 637.783 
12,051,Florida,Hendry County," 39,140 "," 39,119 "," 1,152.750 "
12,053,Florida,Hernando County," 172,778 "," 178,439 ", 472.539 
12,055,Florida,Highlands County," 98,786 "," 99,491 "," 1,016.615 "
12,057,Florida,Hillsborough County," 1,229,226 "," 1,349,050 "," 1,020.214 "
12,059,Florida,Holmes County," 19,927 "," 19,324 ", 478.777 
12,061,Florida,Indian River County," 138,028 "," 147,919 ", 502.872 
12,063,Florida,Jackson County," 49,746 "," 48,599 ", 917.760 
12,065,Florida,Jefferson County," 14,761 "," 14,081 ", 598.095 
12,067,Florida,Lafayette County," 8,870 "," 8,663 ", 543.411 
12,069,Florida,Lake County," 297,052 "," 325,875 ", 938.381 
12,071,Florida,Lee County," 618,754 "," 701,982 ", 784.513 
12,073,Florida,Leon County," 275,487 "," 286,272 ", 666.852 
12,075,Florida,Levy County," 40,801 "," 39,832 "," 1,118.206 "
12,077,Florida,Liberty County," 8,365 "," 8,331 ", 835.562 
12,079,Florida,Madison County," 19,224 "," 18,408 ", 695.948 
12,081,Florida,Manatee County," 322,833 "," 363,369 ", 742.931 
12,083,Florida,Marion County," 331,298 "," 343,254 "," 1,584.546 "
12,085,Florida,Martin County," 146,318 "," 156,283 ", 543.464 
12,086,Florida,Miami-Dade County," 2,496,435 "," 2,693,117 "," 1,897.716 "
12,087,Florida,Monroe County," 73,090 "," 77,482 ", 983.282 
12,089,Florida,Nassau County," 73,314 "," 78,444 ", 648.639 
12,091,Florida,Okaloosa County," 180,822 "," 198,664 ", 930.247 
12,093,Florida,Okeechobee County," 39,996 "," 39,469 ", 768.908 
12,095,Florida,Orange County," 1,145,956 "," 1,288,126 ", 903.429 
12,097,Florida,Osceola County," 268,685 "," 323,993 "," 1,327.453 "
12,099,Florida,Palm Beach County," 1,320,134 "," 1,422,789 "," 1,969.763 "
12,101,Florida,Pasco County," 464,697 "," 497,909 ", 746.886 
12,103,Florida,Pinellas County," 916,542 "," 949,827 ", 273.799 
12,105,Florida,Polk County," 602,095 "," 650,092 "," 1,797.837 "
12,107,Florida,Putnam County," 74,364 "," 72,023 ", 727.622 
12,109,Florida,St. Johns County," 190,039 "," 226,640 ", 600.655 
12,111,Florida,St. Lucie County," 277,789 "," 298,563 ", 571.926 
12,113,Florida,Santa Rosa County," 151,372 "," 167,040 "," 1,011.605 "
12,115,Florida,Sarasota County," 379,448 "," 405,549 ", 555.868 
12,117,Florida,Seminole County," 422,718 "," 449,144 ", 309.221 
12,119,Florida,Sumter County," 93,420 "," 118,891 ", 546.933 
